"";"n";"Estatística";"Estatística";"Métricas";"Métricas";"Testes";"Testes"
"";"";"art.";"cit.";"art.";"cit.";"art.";"cit."
"Ano";"";"";"";"";"";"";""
2000;9;9;61;9;96;0;0
2001;18;16;281;18;276;0;0
2002;20;18;280;19;301;0;0
2003;19;18;291;19;401;0;0
2004;24;21;312;24;416;0;0
2005;24;24;433;23;363;2;2
2006;17;16;209;16;294;2;2
2007;21;21;330;21;418;1;6
2008;27;26;448;27;528;2;2
2009;22;22;281;22;441;2;2
2010;19;19;325;19;238;1;1
2011;15;15;296;15;356;1;1
2012;23;23;502;23;484;4;9
2013;20;20;424;19;552;0;0
2014;18;17;240;18;418;2;2
2015;22;22;445;22;524;6;7
2016;24;24;558;24;553;7;21
2017;26;26;631;26;554;2;6
2018;35;35;907;35;740;9;45
2019;40;40;952;40;915;3;6
2020;29;29;687;29;534;5;22
2021;21;21;572;20;515;0;0
2022;26;26;701;26;711;7;32
