"ano";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG";"cit.";"art.";"n"
2000;1;0;0;0;0;3;1;0;0;0;0;0;0;0;6;0;45;5;0;0;0;0;61;9;9
2001;22;0;1;3;0;67;3;0;1;0;0;0;0;0;52;0;107;12;13;0;0;0;281;16;18
2002;32;0;0;0;14;35;0;0;2;0;0;0;1;0;31;0;133;15;17;0;0;0;280;18;20
2003;1;0;64;0;0;41;3;0;11;0;0;0;0;0;66;0;85;12;8;0;0;0;291;18;19
2004;26;0;9;0;8;65;1;0;2;2;0;1;0;0;76;0;98;23;1;0;0;0;312;21;24
2005;21;6;1;4;29;95;3;0;27;1;1;0;0;0;50;0;140;31;23;1;0;0;433;24;24
2006;1;0;0;0;0;28;3;0;18;1;0;0;0;0;47;0;95;10;6;0;0;0;209;16;17
2007;3;0;0;2;0;40;4;0;2;2;0;1;0;0;92;0;161;16;6;1;0;0;330;21;21
2008;6;0;1;0;3;92;1;0;12;0;0;3;1;0;50;0;249;26;4;0;0;0;448;26;27
2009;7;3;1;0;0;51;0;0;3;0;2;0;0;0;59;0;130;22;1;1;0;1;281;22;22
2010;20;7;24;2;0;46;3;0;2;0;0;4;0;0;39;0;102;23;53;0;0;0;325;19;19
2011;13;0;2;3;9;30;1;0;1;2;1;0;0;0;39;3;160;27;5;0;0;0;296;15;15
2012;11;1;5;4;7;94;0;0;11;1;0;0;0;0;60;9;278;14;0;0;0;7;502;23;23
2013;17;5;2;2;1;91;0;13;4;0;0;3;0;0;73;0;131;28;47;4;0;3;424;20;20
2014;7;1;0;0;0;72;0;0;11;1;2;0;4;0;15;0;94;30;2;1;0;0;240;17;18
2015;8;4;3;0;2;82;0;3;20;2;1;9;0;0;40;0;212;19;38;0;0;2;445;22;22
2016;5;3;18;5;2;81;8;0;19;0;0;0;0;0;51;1;304;35;4;1;0;21;558;24;24
2017;3;1;9;7;9;93;22;5;11;0;3;10;1;0;119;4;250;27;52;0;0;5;631;26;26
2018;24;2;3;1;4;157;8;2;13;1;4;0;1;0;137;0;405;70;73;1;0;1;907;35;35
2019;26;8;6;4;11;144;31;22;23;0;2;5;0;0;94;2;365;103;82;1;0;23;952;40;40
2020;13;2;8;13;6;112;2;6;10;0;15;6;0;0;116;0;237;57;34;3;4;43;687;29;29
2021;11;0;3;0;2;86;13;1;9;0;5;0;0;0;30;0;306;41;51;0;0;14;572;21;21
2022;13;1;21;8;14;114;1;6;15;1;2;0;0;0;40;4;305;58;69;1;0;28;701;26;26
